Date;FTHG;FTHGb;FTAG;FTAGb;HS;HSb;HST;HSTb;HC;HCb;OddsH;Resultado
08/10/2018;2;0;1;0;8;0;6;0;2;0;1,58;S
08/11/2018;2;0;0;0;12;0;4;0;7;0;1,89;S
08/11/2018;0;0;2;0;15;0;6;0;5;0;2,5;F
08/11/2018;0;0;3;0;6;0;1;0;2;0;6,41;F
08/11/2018;1;0;2;0;15;0;2;0;3;0;3,83;F
08/11/2018;2;0;0;0;19;0;5;0;8;0;2,43;S
08/11/2018;2;0;2;0;11;0;4;0;3;0;2,36;F
08/12/2018;0;0;2;0;9;0;3;0;2;0;4;F
08/12/2018;4;0;0;0;18;0;8;0;5;0;1,27;S
08/12/2018;0;0;0;0;18;0;3;0;8;0;1,86;F
8/18/2018;0;0;0;0;12;0;1;0;5;0;3,25;F
8/18/2018;3;0;2;0;24;0;11;0;5;0;1,83;S
8/18/2018;2;0;1;0;13;0;7;0;2;0;1,89;S
8/18/2018;2;0;0;0;6;0;2;0;1;0;2,05;S
8/18/2018;3;0;1;0;25;0;11;0;5;0;1,28;S
8/18/2018;1;0;2;0;11;0;5;0;6;0;2,09;F
8/19/2018;3;0;2;0;6;0;3;0;3;0;5,37;S
8/19/2018;1;0;3;0;8;0;3;0;5;0;2,47;F
8/19/2018;6;0;1;0;32;0;14;0;10;0;1,1;S
8/20/2018;0;0;2;0;8;0;2;0;6;0;7,34;F
8/25/2018;3;0;1;0;17;0;10;0;10;0;1,38;S
8/25/2018;2;2;2;2;17;2;5;2;6;2;2,63;F
8/25/2018;0;0;0;0;5;0;1;0;7;0;2,34;F
8/25/2018;1;4;0;4;22;4;8;4;8;4;1,17;S
8/25/2018;1;0;2;0;11;0;5;0;10;0;2,45;F
8/25/2018;1;2;1;2;11;2;2;2;5;2;1,21;F
8/26/2018;4;0;2;0;25;0;12;0;6;0;1,97;S
8/26/2018;1;1;2;1;6;1;2;1;4;1;5,49;F
8/26/2018;2;2;1;2;13;2;5;2;6;2;2,61;S
8/27/2018;0;2;3;2;23;2;5;2;5;2;2,61;F
09/01/2018;2;3;2;3;15;3;5;3;7;3;2,24;F
09/01/2018;2;3;0;3;24;3;6;3;7;3;1,3;S
09/01/2018;0;0;2;0;20;0;6;0;7;0;1,95;F
09/01/2018;1;2;1;2;11;2;1;2;4;2;1,5;F
09/01/2018;1;2;2;2;12;2;5;2;4;2;7,5;F
09/01/2018;2;6;1;6;24;6;8;6;4;6;1,12;S
09/01/2018;0;1;1;1;13;1;3;1;4;1;2,58;F
09/02/2018;0;1;2;1;9;1;2;1;2;1;5,94;F
09/02/2018;2;0;3;0;14;0;3;0;3;0;6,35;F
09/02/2018;2;2;1;2;7;2;3;2;3;2;5,5;S
9/15/2018;4;2;2;2;10;2;5;2;4;2;2,43;S
9/15/2018;4;2,5;1;2,5;18;2,5;7;2,5;5;2,5;1,19;S
9/15/2018;0;0;1;0;15;0;2;0;5;0;3,25;F
9/15/2018;3;4;0;4;28;4;9;4;10;4;1,13;S
9/15/2018;1;1;2;1;4;1;2;1;10;1;4,2;F
9/15/2018;1;3;2;3;11;3;3;3;5;3;3,03;F
9/15/2018;1;2;2;2;14;2;5;2;6;2;4,18;F
9/16/2018;1;1,5;3;1,5;16;1,5;4;1,5;4;1,5;2,07;F
9/16/2018;1;1,5;0;1,5;30;1,5;7;1,5;8;1,5;1,74;S
9/17/2018;2;0,5;2;0,5;14;0,5;5;0,5;1;0,5;2,12;F
9/22/2018;1;2,5;2;2,5;8;2,5;4;2,5;5;2,5;4,99;F
9/22/2018;4;0,5;0;0,5;12;0,5;5;0,5;3;0,5;2,95;S
9/22/2018;0;1;5;1;2;1;2;1;1;1;21,06;F
9/22/2018;0;0;0;0;16;0;4;0;9;0;2,18;F
9/22/2018;1;2;1;2;15;2;3;2;8;2;2,48;F
9/22/2018;3;1,5;1;1,5;18;1,5;8;1,5;3;1,5;1,62;S
9/22/2018;3;2,5;0;2,5;12;2,5;4;2,5;5;2,5;1,2;S
9/22/2018;1;1;1;1;15;1;6;1;5;1;1,59;F
9/23/2018;2;1,5;0;1,5;9;1,5;5;1,5;5;1,5;1,49;S
9/23/2018;0;0,5;0;0,5;6;0,5;1;0,5;1;0,5;5,72;F
9/29/2018;2;1,67;0;1,67;9;1,67;2;1,67;6;1,67;1,5;S
9/29/2018;1;3;1;3;10;3;4;3;4;3;2,86;F
9/29/2018;3;1,33;0;1,33;19;1,33;6;1,33;12;1,33;1,76;S
9/29/2018;0;0;2;0;9;0;5;0;3;0;8,01;F
